staff_id,last_name,first_name,middle_name,role,contact_number
2001,Aquino,Joaqin,Mercedes,Nurse,09182746622
2002,Bautista,"Maria Nicole",Ogay,Technician,09234567890
2003,Bautista,"Alexander Joseph",Escobar,Doctor,09284616177
2004,Cruz,"Maria Elena",Abogado,"Billing Clerk",09456789012
2005,Tan,"Zandy Yola",Faustino,Technician,09567890123
2006,Chua,Noah,Sy,Technician,09678901234
2007,Fuentebella,Santino,Parana,Doctor,09789012345
2008,Gamboa,"Mikaela Xyra",Tan,Technician,09890123456
2009,Garcia,"Rafael Zander",Liu,Administrator,09123456780
2010,Yap,"Allen Ricardo",Macapili,"Billing Clerk",09234567801
2011,Ilustre,"Justin Blake",Ibanez,Nurse,09345678912
2012,Jambalos,Annalyn,Sarmiento,Nurse,09456789023
2013,Jimenez,"Ella Grace",Panganiban,Administrator,09567890134
2014,Salazar,Florante,Alvarado,Technician,09678901245
2015,Kasilag,Carlo,Bautista,Nurse,09789012356
2016,Llorente,"Katnis Faith",Dizon,Nurse,09890123467
2017,Pua,Jazzie,Fajardo,Receptionist,09123456701
2018,Meyer,"Michael Dale",Quimpo,Nurse,09234567812
2019,Morales,Joseph,Escobar,Doctor,09345678923
2020,Noche,Nikki,Lacuna,Doctor,09456789034
2021,Ocampo,Christopher,Yap,Nurse,09567890145
2022,Pineda,Maricar,Natividad,Receptionist,09678901256
2023,Sy,"Marcus Aurelius",Villamin,Nurse,09789012367
2024,Lim,Leslie,Pascual,Technician,09890123478
2025,Rojas,"Christian Lee",Sison,Technician,09123456702
2026,Santos,"Avery Joseph",Yuchengco,Doctor,09234567813
2027,Sison,"Mark Paolo",Villar,Technician,09345678924
2028,Pineda,"Julienne Victoria",Gokongwei,Doctor,09456789035
2029,Yap,"Elena Vivienne",Velasco,Technician,09567890146
2030,Villanueva,"Maria Rosella",Galante,Nurse,09678901257
2031,Webber,"Christine Marie",Jorvina,Receptionist,09789012368
